Epoch 137, Average Loss 0.0
Epoch 138, Average Loss 0.0
Epoch 139, Average Loss 0.0
Epoch 140, Average Loss 0.0
Test Loss: 0.0
Epoch 141, Average Loss 0.0
Epoch 142, Average Loss 0.0
Epoch 143, Average Loss 0.0
Epoch 144, Average Loss 0.0
Epoch 145, Average Loss 0.0
Epoch 146, Average Loss 0.0
Epoch 147, Average Loss 0.0
Epoch 148, Average Loss 0.0
Epoch 149, Average Loss 0.0
Epoch 150, Average Loss 0.0
Test Loss: 0.0
Epoch 151, Average Loss 0.0
Epoch 152, Average Loss 0.0
Epoch 153, Average Loss 0.0
Epoch 154, Average Loss 0.0
Epoch 155, Average Loss 0.0
Epoch 156, Average Loss 0.0
Epoch 157, Average Loss 0.0
Epoch 158, Average Loss 0.0
Epoch 159, Average Loss 0.0
Epoch 160, Average Loss 0.0
Test Loss: 0.0
Epoch 161, Average Loss 0.0
Epoch 162, Average Loss 0.0
Epoch 163, Average Loss 0.0
Epoch 164, Average Loss 0.0
Epoch 165, Average Loss 0.0
Epoch 166, Average Loss 0.0
Epoch 167, Average Loss 0.0
Epoch 168, Average Loss 0.0
Epoch 169, Average Loss 0.0
Epoch 170, Average Loss 0.0
Test Loss: 0.0
Epoch 171, Average Loss 0.0
Epoch 172, Average Loss 0.0
Epoch 173, Average Loss 0.0
Epoch 174, Average Loss 0.0
Epoch 175, Average Loss 0.0
Epoch 176, Average Loss 0.0
Epoch 177, Average Loss 0.0
Epoch 178, Average Loss 0.0
Epoch 179, Average Loss 0.0
Epoch 180, Average Loss 0.0
Test Loss: 0.0
Epoch 181, Average Loss 0.0
Epoch 182, Average Loss 0.0
Epoch 183, Average Loss 0.0
Epoch 184, Average Loss 0.0
Epoch 185, Average Loss 0.0
Epoch 186, Average Loss 0.0
Epoch 187, Average Loss 0.0
Epoch 188, Average Loss 0.0
Epoch 189, Average Loss 0.0
Epoch 190, Average Loss 0.0
Test Loss: 0.0
Epoch 191, Average Loss 0.0
Epoch 192, Average Loss 0.0
Epoch 193, Average Loss 0.0
Epoch 194, Average Loss 0.0
Epoch 195, Average Loss 0.0
Epoch 196, Average Loss 0.0
Epoch 197, Average Loss 0.0
Epoch 198, Average Loss 0.0
Epoch 199, Average Loss 0.0
Epoch 200, Average Loss 0.0
Test Loss: 0.0
Epoch 201, Average Loss 0.0
Epoch 202, Average Loss 0.0
Epoch 203, Average Loss 0.0
Epoch 204, Average Loss 0.0
Epoch 205, Average Loss 0.0
Epoch 206, Average Loss 0.0
Epoch 207, Average Loss 0.0
Epoch 208, Average Loss 0.0
Epoch 209, Average Loss 0.0
Epoch 210, Average Loss 0.0
Test Loss: 0.0
Epoch 211, Average Loss 0.0
Epoch 212, Average Loss 0.0
Epoch 213, Average Loss 0.0
Epoch 214, Average Loss 0.0
Epoch 215, Average Loss 0.0
Epoch 216, Average Loss 0.0
Epoch 217, Average Loss 0.0
Epoch 218, Average Loss 0.0
Epoch 219, Average Loss 0.0
Epoch 220, Average Loss 0.0
Test Loss: 0.0
Epoch 221, Average Loss 0.0
Epoch 222, Average Loss 0.0
Epoch 223, Average Loss 0.0
Epoch 224, Average Loss 0.0
Epoch 225, Average Loss 0.0
Epoch 226, Average Loss 0.0
Epoch 227, Average Loss 0.0
Epoch 228, Average Loss 0.0
Epoch 229, Average Loss 0.0
Epoch 230, Average Loss 0.0
Test Loss: 0.0
Epoch 231, Average Loss 0.0
Epoch 232, Average Loss 0.0
Epoch 233, Average Loss 0.0
Epoch 234, Average Loss 0.0
Epoch 235, Average Loss 0.0
Epoch 236, Average Loss 0.0
Epoch 237, Average Loss 0.0
Epoch 238, Average Loss 0.0
Epoch 239, Average Loss 0.0
Epoch 240, Average Loss 0.0
Test Loss: 0.0
Epoch 241, Average Loss 0.0
Epoch 242, Average Loss 0.0
Epoch 243, Average Loss 0.0
Epoch 244, Average Loss 0.0
Epoch 245, Average Loss 0.0
Epoch 246, Average Loss 0.0
Epoch 247, Average Loss 0.0
Epoch 248, Average Loss 0.0
Epoch 249, Average Loss 0.0
Epoch 250, Average Loss 0.0
Test Loss: 0.0
Epoch 251, Average Loss 0.0
Epoch 252, Average Loss 0.0
Epoch 253, Average Loss 0.0
Epoch 254, Average Loss 0.0
Epoch 255, Average Loss 0.0
Epoch 256, Average Loss 0.0
Epoch 257, Average Loss 0.0
Epoch 258, Average Loss 0.0
Epoch 259, Average Loss 0.0
Epoch 260, Average Loss 0.0
Test Loss: 0.0
Epoch 261, Average Loss 0.0
Epoch 262, Average Loss 0.0
Epoch 263, Average Loss 0.0
Epoch 264, Average Loss 0.0
Epoch 265, Average Loss 0.0
Epoch 266, Average Loss 0.0
Epoch 267, Average Loss 0.0
Epoch 268, Average Loss 0.0
Epoch 269, Average Loss 0.0
Epoch 270, Average Loss 0.0
Test Loss: 0.0
Epoch 271, Average Loss 0.0
Epoch 272, Average Loss 0.0
Epoch 273, Average Loss 0.0
Epoch 274, Average Loss 0.0
Epoch 275, Average Loss 0.0
Epoch 276, Average Loss 0.0
Epoch 277, Average Loss 0.0
Epoch 278, Average Loss 0.0
Epoch 279, Average Loss 0.0
Epoch 280, Average Loss 0.0
Test Loss: 0.0
Epoch 281, Average Loss 0.0
Epoch 282, Average Loss 0.0
Epoch 283, Average Loss 0.0
Epoch 284, Average Loss 0.0
Epoch 285, Average Loss 0.0
Epoch 286, Average Loss 0.0
Epoch 287, Average Loss 0.0
Epoch 288, Average Loss 0.0
Epoch 289, Average Loss 0.0
Epoch 290, Average Loss 0.0
Test Loss: 0.0
Epoch 291, Average Loss 0.0
Epoch 292, Average Loss 0.0
Epoch 293, Average Loss 0.0
Epoch 294, Average Loss 0.0
Epoch 295, Average Loss 0.0
Epoch 296, Average Loss 0.0
Epoch 297, Average Loss 0.0
Epoch 298, Average Loss 0.0
Epoch 299, Average Loss 0.0
Epoch 300, Average Loss 0.0
Test Loss: 0.0
Epoch 301, Average Loss 0.0
Epoch 302, Average Loss 0.0
Epoch 303, Average Loss 0.0
Epoch 304, Average Loss 0.0
Epoch 305, Average Loss 0.0
Epoch 306, Average Loss 0.0
Epoch 307, Average Loss 0.0
Epoch 308, Average Loss 0.0
Epoch 309, Average Loss 0.0
Epoch 310, Average Loss 0.0
Test Loss: 0.0
Epoch 311, Average Loss 0.0
Epoch 312, Average Loss 0.0
Epoch 313, Average Loss 0.0
Epoch 314, Average Loss 0.0
Epoch 315, Average Loss 0.0
Epoch 316, Average Loss 0.0
Epoch 317, Average Loss 0.0
Epoch 318, Average Loss 0.0
Epoch 319, Average Loss 0.0
Epoch 320, Average Loss 0.0
Test Loss: 0.0
Epoch 321, Average Loss 0.0
Epoch 322, Average Loss 0.0
Epoch 323, Average Loss 0.0
Epoch 324, Average Loss 0.0
Epoch 325, Average Loss 0.0
Epoch 326, Average Loss 0.0
Epoch 327, Average Loss 0.0
Epoch 328, Average Loss 0.0
Epoch 329, Average Loss 0.0
Epoch 330, Average Loss 0.0
Test Loss: 0.0
Epoch 331, Average Loss 0.0
Epoch 332, Average Loss 0.0
Epoch 333, Average Loss 0.0
Epoch 334, Average Loss 0.0
Epoch 335, Average Loss 0.0
Epoch 336, Average Loss 0.0
Epoch 337, Average Loss 0.0
