Epoch 128, Average Loss 2.0424406228671557e-05
Epoch 129, Average Loss 1.788398240714281e-05
Epoch 130, Average Loss 1.1605828585225371e-05
Test Loss: 1.1377086525499181e-05
Epoch 131, Average Loss 1.990112999937071e-05
Epoch 132, Average Loss 1.0878841479391472e-05
Epoch 133, Average Loss 4.55395380791869e-05
Epoch 134, Average Loss 1.618695061272809e-05
Epoch 135, Average Loss 5.6122023285947934e-05
Epoch 136, Average Loss 0.0001525452654519379
Epoch 137, Average Loss 3.2302003943831423e-05
Epoch 138, Average Loss 7.113068988496994e-05
Epoch 139, Average Loss 4.222720745422555e-05
Epoch 140, Average Loss 3.222911789899753e-05
Test Loss: 8.291017911687959e-06
Epoch 141, Average Loss 1.4651950080037693e-05
Epoch 142, Average Loss 1.4840419971747745e-05
Epoch 143, Average Loss 2.860126091888295e-05
Epoch 144, Average Loss 7.319876503740338e-05
Epoch 145, Average Loss 4.5142341662805065e-05
Epoch 146, Average Loss 3.418057534400771e-05
Epoch 147, Average Loss 1.9401126996566332e-05
Epoch 148, Average Loss 3.428678026961555e-05
Epoch 149, Average Loss 3.3947260745559176e-05
Epoch 150, Average Loss 3.902785169596922e-05
Test Loss: 2.6180912328754856e-06
Epoch 151, Average Loss 1.2323167569072982e-05
Epoch 152, Average Loss 1.9926301641356687e-05
Epoch 153, Average Loss 3.137852596752584e-05
Epoch 154, Average Loss 0.10800824854762636
Epoch 155, Average Loss 1.1201256624020973e-06
Epoch 156, Average Loss 6.629340907977565e-10
Epoch 157, Average Loss 1.4618436131516272e-10
Epoch 158, Average Loss 6.007746757002083e-11
Epoch 159, Average Loss 5.890856137653168e-10
Epoch 160, Average Loss 7.432046428481567e-10
Test Loss: 1.358178814640093e-12
Epoch 161, Average Loss 2.785375475010662e-10
Epoch 162, Average Loss 4.358091506124776e-11
Epoch 163, Average Loss 2.4722480918988404e-10
Epoch 164, Average Loss 2.408618358823515e-10
Epoch 165, Average Loss 5.173451733157228e-10
Epoch 166, Average Loss 6.785743943937758e-10
Epoch 167, Average Loss 3.689289902825308e-10
Epoch 168, Average Loss 7.202089354419363e-10
Epoch 169, Average Loss 8.460441452112426e-10
Epoch 170, Average Loss 6.758251618318824e-10
Test Loss: 1.5654511836132868e-10
Epoch 171, Average Loss 1.1898172946955094e-09
Epoch 172, Average Loss 1.38428993591004e-09
Epoch 173, Average Loss 3.3981733395021313e-10
Epoch 174, Average Loss 2.4166541862989997e-09
Epoch 175, Average Loss 1.727011562875899e-09
Epoch 176, Average Loss 2.0066697711119736e-09
Epoch 177, Average Loss 9.205123526117077e-10
Epoch 178, Average Loss 2.0459291328281746e-09
Epoch 179, Average Loss 6.156434035933729e-09
Epoch 180, Average Loss 3.6349435662347134e-09
Test Loss: 4.2016617268769707e-10
Epoch 181, Average Loss 2.6597656579833613e-09
Epoch 182, Average Loss 4.544307297373339e-09
Epoch 183, Average Loss 1.2483082384668549e-09
Epoch 184, Average Loss 1.0189690406936374e-09
Epoch 185, Average Loss 7.829565021638462e-09
Epoch 186, Average Loss 7.724198287006105e-09
Epoch 187, Average Loss 7.820352204771831e-09
Epoch 188, Average Loss 7.600675396470128e-09
Epoch 189, Average Loss 3.0301330249010786e-09
Epoch 190, Average Loss 8.267715799077452e-09
Test Loss: 2.6180718398771676e-09
Epoch 191, Average Loss 1.4451662219984258e-08
Epoch 192, Average Loss 1.5720788052319962e-08
Epoch 193, Average Loss 9.747971717225495e-09
Epoch 194, Average Loss 1.6911275403248633e-08
Epoch 195, Average Loss 1.8781474395052137e-08
Epoch 196, Average Loss 2.2710287263970322e-08
Epoch 197, Average Loss 1.1827320382391621e-08
Epoch 198, Average Loss 3.7090719635063036e-08
Epoch 199, Average Loss 4.5631986854931374e-08
Epoch 200, Average Loss 7.269957123296028e-08
Test Loss: 3.3751075445564996e-08
Epoch 201, Average Loss 3.7955676754968025e-08
Epoch 202, Average Loss 2.934544925422443e-08
Epoch 203, Average Loss 5.357947673087469e-08
Epoch 204, Average Loss 6.83444771551783e-08
Epoch 205, Average Loss 7.836640746788423e-08
