Epoch 128, Average Loss 2.238915906333734e-05
Epoch 129, Average Loss 1.6250933590181605e-05
Epoch 130, Average Loss 1.366219497050466e-05
Test Loss: 5.318304101820104e-06
Epoch 131, Average Loss 1.2761799749551767e-05
Epoch 132, Average Loss 9.729482139357082e-06
Epoch 133, Average Loss 9.71937274669794e-06
Epoch 134, Average Loss 8.607221590426878e-06
Epoch 135, Average Loss 5.091395619749303e-06
Epoch 136, Average Loss 5.41204436238999e-06
Epoch 137, Average Loss 3.6372733135265982e-06
Epoch 138, Average Loss 3.571542735707675e-06
Epoch 139, Average Loss 2.868458015519778e-06
Epoch 140, Average Loss 2.3981315323424817e-06
Test Loss: 7.105770084336882e-07
Epoch 141, Average Loss 2.10824672123342e-06
Epoch 142, Average Loss 2.1418284594675024e-06
Epoch 143, Average Loss 1.7035930666491113e-06
Epoch 144, Average Loss 1.744858570900458e-06
Epoch 145, Average Loss 1.1982650135818291e-06
Epoch 146, Average Loss 1.239227267480077e-06
Epoch 147, Average Loss 1.0557810434178624e-06
Epoch 148, Average Loss 1.2122859084741946e-06
Epoch 149, Average Loss 9.036523217360677e-07
Epoch 150, Average Loss 1.0583884990251279e-06
Test Loss: 1.2627569843104424e-07
Epoch 151, Average Loss 7.783479967103639e-07
Epoch 152, Average Loss 7.38973816574623e-07
Epoch 153, Average Loss 8.011111376858964e-07
Epoch 154, Average Loss 6.286906547089368e-07
Epoch 155, Average Loss 6.118020594777746e-07
Epoch 156, Average Loss 6.650620223537535e-07
Epoch 157, Average Loss 5.304284819868743e-07
Epoch 158, Average Loss 4.6794001765983073e-07
Epoch 159, Average Loss 6.363548285445965e-07
Epoch 160, Average Loss 9.340914774496394e-07
Test Loss: 4.1343299841400947e-07
Epoch 161, Average Loss 7.354224615389782e-07
Epoch 162, Average Loss 8.88763759184462e-07
Epoch 163, Average Loss 1.036934883544669e-06
Epoch 164, Average Loss 1.0504155767421253e-06
Epoch 165, Average Loss 8.844554544279109e-06
Epoch 166, Average Loss 1.4462925030315251e-06
Epoch 167, Average Loss 7.043980263774339e-07
Epoch 168, Average Loss 1.9029698280731632e-06
Epoch 169, Average Loss 1.8991325897204993e-06
Epoch 170, Average Loss 5.036939488195854e-06
Test Loss: 1.5492789415816333e-06
Epoch 171, Average Loss 8.542038392246053e-06
Epoch 172, Average Loss 2.557751889825444e-06
Epoch 173, Average Loss 7.641047615958156e-07
Epoch 174, Average Loss 7.081664530508179e-07
Epoch 175, Average Loss 1.6605142919728147e-05
Epoch 176, Average Loss 1.4319825893409548e-05
Epoch 177, Average Loss 1.7113375359062784e-06
Epoch 178, Average Loss 5.460530904855971e-07
Epoch 179, Average Loss 1.0676886484295855e-06
Epoch 180, Average Loss 2.628419767518513e-06
Test Loss: 4.398756846057949e-06
Epoch 181, Average Loss 4.826955032088543e-06
Epoch 182, Average Loss 6.304361266390797e-07
Epoch 183, Average Loss 6.09915896555723e-07
Epoch 184, Average Loss 2.5172182153157704e-06
Epoch 185, Average Loss 6.405736566556456e-06
Epoch 186, Average Loss 1.1672556179522111e-05
Epoch 187, Average Loss 9.410974326647625e-06
Epoch 188, Average Loss 7.369576573631704e-07
Epoch 189, Average Loss 7.9744143663091e-07
Epoch 190, Average Loss 1.7443956919276134e-06
Test Loss: 5.239031494852498e-07
Epoch 191, Average Loss 4.1267251972414345e-06
Epoch 192, Average Loss 5.607596930373926e-07
Epoch 193, Average Loss 9.65523990390909e-07
Epoch 194, Average Loss 1.8847181463656795e-06
Epoch 195, Average Loss 1.5582265516741424e-05
Epoch 196, Average Loss 3.575472451993386e-05
Epoch 197, Average Loss 0.34638633486452197
Epoch 198, Average Loss 2.563978044637976e-06
Epoch 199, Average Loss 6.504002823206773e-08
Epoch 200, Average Loss 1.0441302911161705e-08
Test Loss: 6.588078531061942e-10
Epoch 201, Average Loss 1.5262998615758407e-09
Epoch 202, Average Loss 4.046612946385972e-10
Epoch 203, Average Loss 2.3459681506712547e-10
Epoch 204, Average Loss 1.3945184401844884e-10
Epoch 205, Average Loss 9.779923495792427e-11
Epoch 206, Average Loss 6.833680426312019e-11
Epoch 207, Average Loss 5.3102019880447165e-11
Epoch 208, Average Loss 4.1892089737539516e-11
Epoch 209, Average Loss 3.62921691836265e-11
Epoch 210, Average Loss 3.4962702366686455e-11
Test Loss: 4.212469522507645e-12
Epoch 211, Average Loss 2.2028163478132004e-11
Epoch 212, Average Loss 1.9363110308348602e-11
Epoch 213, Average Loss 1.8084743393177675e-11
Epoch 214, Average Loss 1.2905134973957144e-11
Epoch 215, Average Loss 1.0525591653800187e-11
Epoch 216, Average Loss 1.167218585459606e-11
Epoch 217, Average Loss 1.2969472189285083e-11
Epoch 218, Average Loss 7.743401629549936e-12
Epoch 219, Average Loss 6.129851431999098e-12
Epoch 220, Average Loss 6.947370125126514e-12
Test Loss: 3.34577456885532e-12
Epoch 221, Average Loss 1.1026457759159533e-11
Epoch 222, Average Loss 8.439663403131685e-11
Epoch 223, Average Loss 2.4188351337267528e-11
Epoch 224, Average Loss 5.293966399702338e-12
Epoch 225, Average Loss 1.2638935103321195e-11
Epoch 226, Average Loss 3.8125696843323946e-10
Epoch 227, Average Loss 1.2912969509159959e-10
Epoch 228, Average Loss 3.86829612601792e-11
Epoch 229, Average Loss 1.7276425525472742e-09
Epoch 230, Average Loss 3.980374660948749e-08
Test Loss: 1.0321806839797e-09
Epoch 231, Average Loss 2.919205717825713e-09
Epoch 232, Average Loss 8.322271463300631e-10
Epoch 233, Average Loss 1.4779023224541767e-09
Epoch 234, Average Loss 3.4967500261582534e-10
Epoch 235, Average Loss 1.2839253374873194e-09
Epoch 236, Average Loss 1.487313838203841e-09
Epoch 237, Average Loss 1.0230593160749119e-08
Epoch 238, Average Loss 2.723377410232647e-08
Epoch 239, Average Loss 1.995370158345759e-08
Epoch 240, Average Loss 5.132980289046307e-08
Test Loss: 2.3192220588441614e-08
Epoch 241, Average Loss 2.029460462987007e-06
Epoch 242, Average Loss 1.285843093781804e-05
Epoch 243, Average Loss 4.541123207821893e-09
Epoch 244, Average Loss 3.8082601540215784e-10
Epoch 245, Average Loss 6.097840507851349e-11
Epoch 246, Average Loss 7.148567652251575e-12
Epoch 247, Average Loss 2.1581372852650775e-12
Epoch 248, Average Loss 9.646653733790971e-13
Epoch 249, Average Loss 4.651406649060755e-13
Epoch 250, Average Loss 3.065227341901689e-13
Test Loss: 0.0
Epoch 251, Average Loss 6.14004880255178e-14
Epoch 252, Average Loss 4.9887895148325404e-14
Epoch 253, Average Loss 4.605036464673054e-14
Epoch 254, Average Loss 1.53501216632775e-14
Epoch 255, Average Loss 1.535012200637945e-14
Epoch 256, Average Loss 2.6862713168062088e-14
Epoch 257, Average Loss 2.6862713168062088e-14
Epoch 258, Average Loss 0.0
Epoch 259, Average Loss 0.0
Epoch 260, Average Loss 0.0
Test Loss: 0.0
Epoch 261, Average Loss 0.0
Epoch 262, Average Loss 0.0
Epoch 263, Average Loss 0.0
Epoch 264, Average Loss 0.0
Epoch 265, Average Loss 0.0
Epoch 266, Average Loss 0.0
Epoch 267, Average Loss 0.0
Epoch 268, Average Loss 0.0
Epoch 269, Average Loss 0.0
Epoch 270, Average Loss 0.0
Test Loss: 0.0
Epoch 271, Average Loss 0.0
Epoch 272, Average Loss 0.0
Epoch 273, Average Loss 0.0
Epoch 274, Average Loss 0.0
Epoch 275, Average Loss 0.0
Epoch 276, Average Loss 0.0
Epoch 277, Average Loss 0.0
Epoch 278, Average Loss 0.0
Epoch 279, Average Loss 0.0
Epoch 280, Average Loss 0.0
Test Loss: 0.0
Epoch 281, Average Loss 0.0
Epoch 282, Average Loss 0.0
Epoch 283, Average Loss 0.0
Epoch 284, Average Loss 0.0
Epoch 285, Average Loss 0.0
Epoch 286, Average Loss 0.0
Epoch 287, Average Loss 0.0
Epoch 288, Average Loss 0.0
Epoch 289, Average Loss 0.0
Epoch 290, Average Loss 0.0
Test Loss: 0.0
Epoch 291, Average Loss 0.0
Epoch 292, Average Loss 0.0
Epoch 293, Average Loss 0.0
Epoch 294, Average Loss 0.0
Epoch 295, Average Loss 0.0
Epoch 296, Average Loss 0.0
Epoch 297, Average Loss 0.0
Epoch 298, Average Loss 0.0
Epoch 299, Average Loss 0.0
Epoch 300, Average Loss 0.0
Test Loss: 0.0
Epoch 301, Average Loss 0.0
Epoch 302, Average Loss 0.0
Epoch 303, Average Loss 0.0
Epoch 304, Average Loss 0.0
Epoch 305, Average Loss 0.0
Epoch 306, Average Loss 0.0
Epoch 307, Average Loss 0.0
Epoch 308, Average Loss 0.0
Epoch 309, Average Loss 0.0
Epoch 310, Average Loss 0.0
Test Loss: 0.0
Epoch 311, Average Loss 0.0
Epoch 312, Average Loss 0.0
Epoch 313, Average Loss 0.0
Epoch 314, Average Loss 0.0
Epoch 315, Average Loss 0.0
