Epoch 127, Average Loss 2.2374589239374e-06
Epoch 128, Average Loss 4.467108732630054e-06
Epoch 129, Average Loss 4.5612216273901114e-06
Epoch 130, Average Loss 8.074372572067821e-05
Test Loss: 0.0003150738926706254
Epoch 131, Average Loss 5.875065568909145e-05
Epoch 132, Average Loss 8.266011223619173e-06
Epoch 133, Average Loss 1.1961135776691432e-05
Epoch 134, Average Loss 1.009886036224054e-05
Epoch 135, Average Loss 5.361021350571592e-06
Epoch 136, Average Loss 6.201650118359621e-06
Epoch 137, Average Loss 3.3568207079151992e-06
Epoch 138, Average Loss 4.156353135892425e-06
Epoch 139, Average Loss 4.093191552317277e-06
Epoch 140, Average Loss 2.902573138362353e-05
Test Loss: 0.00040133350739779416
Epoch 141, Average Loss 4.434947183288479e-05
Epoch 142, Average Loss 4.7280632988007755e-05
Epoch 143, Average Loss 6.4790908362753735e-06
Epoch 144, Average Loss 2.3653464242682683e-06
Epoch 145, Average Loss 1.6268389279868551e-06
Epoch 146, Average Loss 1.0223355936214179e-06
Epoch 147, Average Loss 5.772406033503816e-07
Epoch 148, Average Loss 1.8891394980892362e-06
Epoch 149, Average Loss 8.753821364884568e-07
Epoch 150, Average Loss 5.014405563405031e-07
Test Loss: 0.00025362900895338215
Epoch 151, Average Loss 4.941083506343409e-07
Epoch 152, Average Loss 1.954943170644612e-05
Epoch 153, Average Loss 3.2090395017107016e-05
Epoch 154, Average Loss 1.3199638268185446e-05
Epoch 155, Average Loss 3.084885886070441e-06
Epoch 156, Average Loss 6.1393405757201704e-06
Epoch 157, Average Loss 3.038554256769387e-06
Epoch 158, Average Loss 3.3107207118358904e-06
Epoch 159, Average Loss 1.4422514757831167e-05
Epoch 160, Average Loss 9.085866352620542e-06
Test Loss: 0.000250610025068454
Epoch 161, Average Loss 2.999019378907915e-05
Epoch 162, Average Loss 9.830109745925129e-06
Epoch 163, Average Loss 4.131346513589316e-06
Epoch 164, Average Loss 2.078005639066161e-06
Epoch 165, Average Loss 2.1259760586465032e-06
Epoch 166, Average Loss 8.799166832462313e-07
Epoch 167, Average Loss 2.931756474719684e-07
Epoch 168, Average Loss 6.323190787399302e-07
Epoch 169, Average Loss 1.6483291398584915e-06
Epoch 170, Average Loss 5.004790793890019e-07
Test Loss: 0.00020311193264550554
Epoch 171, Average Loss 5.490343946342974e-07
Epoch 172, Average Loss 2.6334306523901065e-07
Epoch 173, Average Loss 9.51689234274385e-06
Epoch 174, Average Loss 0.019305663511277722
Epoch 175, Average Loss 2.728054899168206e-06
Epoch 176, Average Loss 1.1613932637769033e-09
Epoch 177, Average Loss 5.55953648536203e-11
Epoch 178, Average Loss 2.7902546658559672e-11
Epoch 179, Average Loss 2.5359215738218894e-11
Epoch 180, Average Loss 1.562532706949538e-11
Test Loss: 0.001230783388079241
Epoch 181, Average Loss 1.1766553240282252e-11
Epoch 182, Average Loss 1.3053749537002647e-11
Epoch 183, Average Loss 1.2499518341957816e-11
Epoch 184, Average Loss 7.686272004989626e-12
Epoch 185, Average Loss 4.680690785736854e-12
Epoch 186, Average Loss 4.620203799800007e-12
Epoch 187, Average Loss 6.6225407278328426e-12
Epoch 188, Average Loss 3.662739964526981e-12
Epoch 189, Average Loss 3.2025287067994773e-12
Epoch 190, Average Loss 2.421125331511048e-12
Test Loss: 0.0012308087200532706
Epoch 191, Average Loss 1.7227770721949802e-12
Epoch 192, Average Loss 2.660980166695733e-12
Epoch 193, Average Loss 1.0421635974207454e-12
Epoch 194, Average Loss 2.7741118616827585e-12
Epoch 195, Average Loss 9.253930070338769e-13
Epoch 196, Average Loss 1.3816479605979934e-12
Epoch 197, Average Loss 4.981251434539398e-12
Epoch 198, Average Loss 4.816273687446437e-12
Epoch 199, Average Loss 2.7413710783651388e-11
Epoch 200, Average Loss 6.973481133891958e-11
Test Loss: 0.001230783394315343
Epoch 201, Average Loss 2.715100018714307e-11
Epoch 202, Average Loss 4.831691255336874e-11
Epoch 203, Average Loss 2.2273840561396023e-10
Epoch 204, Average Loss 1.8254993648922183e-10
Epoch 205, Average Loss 1.7080653105864586e-10
Epoch 206, Average Loss 1.3056514785036717e-10
Epoch 207, Average Loss 9.261818244042354e-11
Epoch 208, Average Loss 9.109831934384715e-11
Epoch 209, Average Loss 4.978010222190777e-10
Epoch 210, Average Loss 4.869967310701824e-10
Test Loss: 0.0012307694335441277
Epoch 211, Average Loss 5.211163912484191e-10
Epoch 212, Average Loss 2.3395132356964943e-10
Epoch 213, Average Loss 2.7921680801230107e-10
Epoch 214, Average Loss 1.2321004299450477e-10
Epoch 215, Average Loss 2.1317670774939764e-10
Epoch 216, Average Loss 4.3746593133225824e-10
Epoch 217, Average Loss 2.3551733066861076e-09
Epoch 218, Average Loss 4.898117963221134e-10
Epoch 219, Average Loss 1.1790021330995785e-10
Epoch 220, Average Loss 5.25965364753359e-10
Test Loss: 0.001230837939057303
Epoch 221, Average Loss 6.890616866267621e-10
Epoch 222, Average Loss 2.0040112806779828e-09
Epoch 223, Average Loss 2.4899366699124864e-09
Epoch 224, Average Loss 3.6186409388119115e-10
Epoch 225, Average Loss 4.960464450909311e-10
Epoch 226, Average Loss 9.489567941275328e-10
Epoch 227, Average Loss 3.5129751810364797e-09
Epoch 228, Average Loss 6.488414423865647e-09
Epoch 229, Average Loss 4.694887775334318e-09
Epoch 230, Average Loss 4.35938573645071e-09
Test Loss: 0.0012306403898663942
Epoch 231, Average Loss 2.4328688828587673e-09
Epoch 232, Average Loss 4.745776918115377e-09
Epoch 233, Average Loss 3.775760793685249e-09
Epoch 234, Average Loss 8.992984891223642e-09
Epoch 235, Average Loss 1.0705386730089677e-08
Epoch 236, Average Loss 6.391828342894383e-09
Epoch 237, Average Loss 3.134015078500917e-09
Epoch 238, Average Loss 4.084196818757509e-09
Epoch 239, Average Loss 9.24931755087539e-09
Epoch 240, Average Loss 6.654206019880933e-09
Test Loss: 0.0012306177176597988
Epoch 241, Average Loss 1.0805363013604743e-08
Epoch 242, Average Loss 4.326972058169185e-09
Epoch 243, Average Loss 2.1250967835837576e-08
Epoch 244, Average Loss 9.28889311372684e-09
Epoch 245, Average Loss 1.4400849690650676e-08
Epoch 246, Average Loss 2.9276387266994865e-08
Epoch 247, Average Loss 2.0802524605502996e-08
Epoch 248, Average Loss 2.8484677812846145e-08
Epoch 249, Average Loss 1.6979420325443175e-08
Epoch 250, Average Loss 3.6069365776551485e-08
Test Loss: 0.001230748072671861
Epoch 251, Average Loss 4.6179155753729104e-08
Epoch 252, Average Loss 5.913852613557259e-08
Epoch 253, Average Loss 2.1035717378681544e-07
Epoch 254, Average Loss 1.891018537883602e-07
Epoch 255, Average Loss 1.0004911955834503e-07
Epoch 256, Average Loss 2.842257875105323e-07
Epoch 257, Average Loss 2.6186645576577904e-07
Epoch 258, Average Loss 2.1689638250001215e-07
Epoch 259, Average Loss 3.7945901250002044e-07
Epoch 260, Average Loss 2.5296304111273683e-07
Test Loss: 0.001234190317987327
Epoch 261, Average Loss 3.407351641512951e-07
Epoch 262, Average Loss 4.165875440839789e-07
Epoch 263, Average Loss 3.6375116824686237e-07
Epoch 264, Average Loss 3.059207864639758e-07
Epoch 265, Average Loss 3.946263065803419e-07
Epoch 266, Average Loss 3.663922873564932e-07
Epoch 267, Average Loss 6.723061127108619e-07
Epoch 268, Average Loss 4.109852880722125e-07
Epoch 269, Average Loss 5.069453708462804e-07
Epoch 270, Average Loss 4.2674234322338535e-07
Test Loss: 0.0012431711451498018
Epoch 271, Average Loss 4.045555857682305e-07
Epoch 272, Average Loss 6.957138383954909e-07
Epoch 273, Average Loss 5.492167059422253e-07
Epoch 274, Average Loss 4.71988017772157e-07
Epoch 275, Average Loss 6.789996717709084e-07
Epoch 276, Average Loss 4.219584118064146e-07
Epoch 277, Average Loss 3.057957148147359e-07
Epoch 278, Average Loss 9.340492298827318e-07
Epoch 279, Average Loss 4.2066151962626965e-07
Epoch 280, Average Loss 7.520312112949809e-07
Test Loss: 0.0012547785880087758
Epoch 281, Average Loss 5.84988902248794e-07
Epoch 282, Average Loss 3.120109868810871e-07
Epoch 283, Average Loss 9.876795238550199e-07
Epoch 284, Average Loss 3.2523184233509795e-07
Epoch 285, Average Loss 7.91266404128701e-07
Epoch 286, Average Loss 2.78456165917105e-07
Epoch 287, Average Loss 6.277223370971892e-07
Epoch 288, Average Loss 5.948141087860446e-07
Epoch 289, Average Loss 7.161605636507444e-07
Epoch 290, Average Loss 5.48970995058975e-07
Test Loss: 0.0012555358963254547
Epoch 291, Average Loss 6.05330952565148e-07
Epoch 292, Average Loss 4.428892858474278e-07
Epoch 293, Average Loss 7.159601299333011e-07
Epoch 294, Average Loss 4.554673727345154e-07
Epoch 295, Average Loss 5.949077266955311e-07
Epoch 296, Average Loss 6.492385073322732e-07
Epoch 297, Average Loss 4.826975099119561e-07
Epoch 298, Average Loss 4.362339917973886e-07
Epoch 299, Average Loss 6.95593853841553e-07
Epoch 300, Average Loss 8.428917638120751e-07
Test Loss: 0.001269010114720004
Epoch 301, Average Loss 4.200814661863902e-07
Epoch 302, Average Loss 2.313543077283485e-07
Epoch 303, Average Loss 1.1294828507247989e-06
Epoch 304, Average Loss 2.9090478731944634e-07
Epoch 305, Average Loss 6.417393516560881e-07
Epoch 306, Average Loss 2.629571765233385e-07
Epoch 307, Average Loss 7.889902711122824e-07
Epoch 308, Average Loss 3.0056887605545847e-07
Epoch 309, Average Loss 8.416651175956877e-07
Epoch 310, Average Loss 5.858012378751265e-07
Test Loss: 0.0012766856768067214
Epoch 311, Average Loss 2.60761392832917e-07
Epoch 312, Average Loss 5.48022092909433e-07
Epoch 313, Average Loss 5.873647499403723e-07
Epoch 314, Average Loss 5.756994689516628e-07
Epoch 315, Average Loss 3.6884173609035063e-07
Epoch 316, Average Loss 6.682395660952432e-07
Epoch 317, Average Loss 5.03587259217847e-07
Epoch 318, Average Loss 4.76988814384409e-07
Epoch 319, Average Loss 4.961680115768436e-07
Epoch 320, Average Loss 2.50709561814179e-07
Test Loss: 0.0012879175466764536
Epoch 321, Average Loss 1.3911452231524445e-06
Epoch 322, Average Loss 1.3913904425071118e-07
Epoch 323, Average Loss 5.485971411434986e-07
Epoch 324, Average Loss 2.93376810322059e-07
Epoch 325, Average Loss 5.392029713280344e-07
Epoch 326, Average Loss 4.41348879502051e-07
Epoch 327, Average Loss 2.0261260601140846e-07
Epoch 328, Average Loss 7.454258301815508e-07
Epoch 329, Average Loss 2.8045105912412906e-07
Epoch 330, Average Loss 5.663423059353709e-07
Test Loss: 0.001306379914515965
Epoch 331, Average Loss 2.9555551518415e-07
Epoch 332, Average Loss 4.468475524926134e-07
Epoch 333, Average Loss 9.931007587674805e-07
Epoch 334, Average Loss 1.0765166470275461e-07
Epoch 335, Average Loss 3.542600030709908e-07
